date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:13:42	55659/55659	------	200	untouched ('OK')	text/html	date:Sat,%2012%20May%202018%2016:50:26%20GMT	http://www.materiasensible.cat/ca/lexposici%c3%b3/clipping	cat/www.materiasensible.cat/ca/lexposici%c3%b3/clipping/index.html	(from http://www.materiasensible.cat/ca)
19:13:42	25176/25176	------	200	untouched ('OK')	text/html	date:Sat,%2012%20May%202018%2016:50:27%20GMT	http://www.materiasensible.cat/ca/itinerancies	cat/www.materiasensible.cat/ca/itinerancies/index.html	(from http://www.materiasensible.cat/ca)
19:13:42	18483/18483	------	200	untouched ('OK')	text/html	date:Sat,%2012%20May%202018%2016:50:28%20GMT	http://www.materiasensible.cat/ca/lexposici%c3%b3/documents	cat/www.materiasensible.cat/ca/lexposici%c3%b3/documents/index.html	(from http://www.materiasensible.cat/ca)
19:13:42	98250/98250	------	200	untouched ('OK')	text/html	date:Sat,%2012%20May%202018%2016:50:28%20GMT	http://www.materiasensible.cat/ca/obres	cat/www.materiasensible.cat/ca/obres/index.html	(from http://www.materiasensible.cat/ca)
19:13:42	17299/17299	------	200	untouched ('OK')	text/html	date:Sat,%2012%20May%202018%2016:50:29%20GMT	http://www.materiasensible.cat/ca/contact	cat/www.materiasensible.cat/ca/contact/index.html	(from http://www.materiasensible.cat/ca)
19:13:42	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Sat,%2012%20May%202018%2016:50:30%20GMT	http://www.materiasensible.cat/node/136	cat/www.materiasensible.cat/node/136/index.html	(from http://www.materiasensible.cat/ca)
19:13:42	488192/488192	------	200	untouched ('')	image/jpeg	etag:%2277300-4c36f75ae8380%22	http://www.materiasensible.cat/sites/default/files/ms_web.jpg	cat/www.materiasensible.cat/sites/default/files/ms_web/index.jpg	(from http://www.materiasensible.cat/ca)
19:13:42	16401/16401	------	200	untouched ('OK')	text/html	date:Sat,%2012%20May%202018%2016:51:08%20GMT	http://www.materiasensible.cat/en	cat/www.materiasensible.cat/en/index.html	(from http://www.materiasensible.cat/ca)
19:13:42	16535/16535	------	200	untouched ('OK')	text/html	date:Sat,%2012%20May%202018%2016:51:09%20GMT	http://www.materiasensible.cat/es	cat/www.materiasensible.cat/es/index.html	(from http://www.materiasensible.cat/ca)
19:13:42	9534/9534	------	200	untouched ('')	image/png	etag:%22253e-49955483bef80%22	http://www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/irll.png	cat/www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/irll/index.png	(from http://www.materiasensible.cat/ca)
19:13:42	5719/5719	------	200	untouched ('')	image/png	etag:%221657-4b529dca610c0%22	http://www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/logo_footer_conca.png	cat/www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/logo_footer_conca/index.png	(from http://www.materiasensible.cat/ca)
19:13:42	6145/6145	------	200	untouched ('')	image/png	etag:%221801-49955483bef80%22	http://www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/archtlas.png	cat/www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/archtlas/index.png	(from http://www.materiasensible.cat/ca)
19:13:42	2432/2432	------	200	untouched ('')	image/png	etag:%22980-49ba2b656ed40%22	http://www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/arquinfad_0.png	cat/www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/arquinfad_0/index.png	(from http://www.materiasensible.cat/ca)
19:13:42	5726/5726	------	200	untouched ('')	image/png	etag:%22165e-49955484b31c0%22	http://www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/et.png	cat/www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/et/index.png	(from http://www.materiasensible.cat/ca)
19:13:42	9721/9721	------	200	untouched ('')	image/png	etag:%2225f9-49955482cad40%22	http://www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/ajac.png	cat/www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/ajac/index.png	(from http://www.materiasensible.cat/ca)
19:13:42	7737/7737	------	200	untouched ('')	image/png	etag:%221e39-49955485a7400%22	http://www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/ivanow.png	cat/www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/ivanow/index.png	(from http://www.materiasensible.cat/ca)
19:13:42	12154/12154	------	404	error ('Not%20Found')	text/html	date:Sat,%2012%20May%202018%2016:54:45%20GMT	http://www.materiasensible.cat/ca/COAC	cat/www.materiasensible.cat/ca/COAC/index.html	(from http://www.materiasensible.cat/ca)
19:13:42	7373/7373	------	200	untouched ('')	image/png	etag:%221ccd-49ba2b6fec600%22	http://www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/coac.png	cat/www.materiasensible.cat/sites/default/files/imagecache/Logos/img/logos/coac/index.png	(from http://www.materiasensible.cat/ca)
